Population,Condition,bd ~ SAR4,bd ~ SAR42,bd ~ SAR5,rdry ~ bd,rdry ~ SAR4,rdry ~ SAR42,rdry ~ SAR5,h3h1 ~ bd,h3h1 ~ rdry,h3h1 ~ SAR4,h3h1 ~ SAR42,h3h1 ~ SAR5,idry ~ bd,idry ~ rdry,idry ~ h3h1,idry ~ SAR4,idry ~ SAR42,idry ~ SAR5
blh,Sun,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0
blh,Shade,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
bur,Sun,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0
bur,Shade,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
cvi,Sun,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
cvi,Shade,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
ita,Sun,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
ita,Shade,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
jea,Sun,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1
jea,Shade,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
oy,Sun,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0
oy,Shade,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
sha,Sun,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
sha,Shade,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
